Account,trade_date,sentiment,total_pnl,num_trades,avg_size_usd,long_ratio,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Extreme Greed,0.0,155,5089.718248587571,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Extreme Greed,0.0,65,7976.664411764705,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Extreme Greed,0.0,40,23734.5,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Extreme Greed,-21227.0,12,28186.666666666668,1.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Extreme Greed,1603.1,27,17248.14814814815,0.4444444444444444,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Extreme Greed,-132271.0,78,16058.536341463414,1.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Extreme Greed,0.0,22,48561.68565217392,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,-175611.00005600002,33,36736.36242424243,1.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Extreme Greed,71393.964098,367,11410.954021505377,0.24086021505376345,0.20535714285714285
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Extreme Greed,40218.599998,47,9400.588039215687,0.5490196078431373,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,76710.0,10,185847.0,0.9,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,101011.685664,551,23593.019856972587,0.7699642431466031,0.6900269541778976
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,375620.270243,399,10576.687156308852,0.20903954802259886,0.7477477477477478
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,44400.9058,192,26585.06338095238,0.37142857142857144,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,30897.0887,130,10161.056241134751,0.9361702127659575,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,55086.0,47,32032.5,0.3333333333333333,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,Neutral,0.0,6,134600.00166666668,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,10152.12224,55,27178.041694915253,0.5254237288135594,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,115445.395538,195,13233.776894977169,0.4246575342465753,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,Extreme Fear,115287.0,54,24958.908545454546,0.01818181818181818,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,Extreme Fear,9482.221441,45,2985.797555555556,0.8,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,533974.662903,489,8371.136099843994,0.8424336973478939,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,Neutral,40200.0,5,79640.0,0.8,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,307855.80341,29,21491.640322580646,1.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Extreme Greed,11715.94323,52,2469.9509090909087,0.14545454545454545,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,Extreme Greed,0.0,1,0.06,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,Greed,0.0,32,1426.8700000000001,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,Extreme Greed,3515.031065,24,2001.101153846154,0.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,Extreme Greed,0.0,46,1131.888695652174,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,Extreme Greed,2517.787385,64,852.88625,0.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,Extreme Greed,1613.165903,56,1913.523898305085,0.7457627118644068,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,Extreme Greed,0.0,1,0.11,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,Greed,1245.51851,33,10051.199411764705,1.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,Greed,0.0,13,2845.9646153846156,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,Extreme Greed,4493.232479,17,2440.6282352941175,0.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,Extreme Greed,1047.030992,36,2154.3915384615384,0.2564102564102564,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,Extreme Greed,4842.054317,118,2194.294758064516,0.3467741935483871,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,Extreme Greed,1693.493165,278,1737.369557522124,0.415929203539823,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,Extreme Greed,4221.156399,53,2398.331666666667,0.9259259259259259,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,Greed,0.0,44,1519.465681818182,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,Greed,6899.2458320000005,54,1317.0667857142857,0.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,Greed,0.0,46,1602.9452173913044,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,Greed,7372.485101,51,1474.6896363636365,0.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,Greed,1162.002541,70,2094.719358974359,0.6794871794871795,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,Greed,6352.452613,390,2792.42166344294,0.5938104448742747,0.9471544715447154
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,Neutral,-12346.990829,113,612.1092741935485,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,Neutral,355.5854,146,2687.4032704402516,0.9937106918238994,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,Neutral,1129.8489260000001,141,1641.2224999999999,0.675,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,Fear,-6820.76955,1,82910.81,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,Extreme Fear,0.0,52,1462.824423076923,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,Fear,2480.902379,100,1999.099181818182,0.5454545454545454,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,Extreme Fear,-3169.3554679999997,63,1756.5103076923076,0.8461538461538461,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,Fear,0.0,35,1499.4978378378378,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,Fear,2099.019688,45,1225.1170212765958,0.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,Fear,656.540742,61,2676.518153846154,0.12307692307692308,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,Extreme Fear,-1065.797583,50,3326.2756603773582,0.018867924528301886,0.9807692307692307
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,Fear,1591.753271,51,2184.328113207547,0.018867924528301886,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,Neutral,-2315.377191,26,4259.311481481482,0.6296296296296297,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,Fear,0.0,41,1460.115,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,Fear,-5018.466447,91,580.479381443299,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,Fear,716.143949,140,730.8744516129032,0.4645161290322581,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,Fear,0.0,1,54768.6,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,Fear,0.0,1,16.37,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,Fear,-95.985744,83,780.4484090909092,0.0,0.011363636363636364
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,Fear,-133.41237,116,730.92608,0.856,0.29850746268656714
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,Fear,951.934443,484,766.7829027576198,0.4528301886792453,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,Fear,371.503,318,552.0850851581508,0.29683698296836986,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,Fear,-1892.58947,436,963.6022222222223,0.4925373134328358,0.7432835820895523
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,Fear,3434.689308,94,887.6931958762888,0.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,Greed,2654.14315,416,2593.2515492957746,0.8996478873239436,0.9882352941176471
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,Greed,1867.252909,496,1679.7829852941175,0.9382352941176471,0.830423940149626
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,Greed,1969.39321,284,3782.839757575757,0.6727272727272727,0.41237113402061853
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,Greed,-4648.8710550000005,274,284.5678402366864,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,Greed,0.0,64,1435.3307462686569,1.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,Greed,5179.772745,78,1221.0467469879518,0.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,Neutral,1243.853569,213,815.50576,0.676,1.0
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,Neutral,-1.0,5,6070.2,0.4,0.0
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,Extreme Greed,1584.342755,1,1584.35,0.0,1.0
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,Extreme Greed,208.81746,4,39530.9875,0.75,1.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,Extreme Fear,16706.884912,511,6131.710464240904,0.4767879548306148,0.9803921568627451
